rollout/ep_len_mean,time/fps,custom/mean_confidence,time/iterations,time/time_elapsed,custom/mean_entropy,custom/images_selected,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
738.0,12,0.5979056938348479,17,2864,0.7399993411649087,762,34816,226.28320420866018,0.2,0.9855324029922485,0.0064453125,160,3.3726933002471924,3.656099132361123,0.0001,4.001314e-05,0.0003890686806698795,-0.1367210089250875,,
281.25,12,0.6139647103349368,18,3001,0.7618539997935295,300,36864,85.8055114611821,0.2,0.7688795924186707,0.0,170,0.2839387059211731,2.5725131481071,0.0001,1.915032e-08,-1.9617504585767163e-05,-0.0013865451153336039,,
793.25,12,0.6194854678191575,19,3137,0.756717665038379,812,38912,240.83475208636813,0.2,0.9918099045753479,0.005078125,180,0.14072401821613312,2.841931905277306,0.0001,0.000642462,0.0011268915113760158,-0.13495972078162594,,
,,0.6029612565377973,,,0.7247993409071328,106,40000,,0.2,0.8064786195755005,0.000439453125,190,0.3878314197063446,2.0457560130627828,0.0001,2.6411639e-05,-7.261752471094951e-05,-0.001722936054372326,946.0,287.6358337402344
228.0,10,0.6095674686133862,20,3752,0.7615770693868399,240,40960,67.64412870707135,,,,,,,,,,,,
740.0,11,0.6114917901998504,21,3889,0.7583791887427264,752,43008,223.55661510844945,0.2,0.9943931698799133,0.0009765625,200,1.315393090248108,4.905054995801765,0.0001,0.0001835911,0.00018457111582392827,-0.11110575607754977,,
283.75,11,0.6104911427696545,22,4025,0.7712709334492683,300,45056,84.23510333174072,0.2,0.8803752660751343,0.0,210,0.6128609776496887,1.733263200800866,0.0001,-6.9849193e-10,2.496828528819606e-07,-0.000308161902626658,,
795.75,11,0.6001282584270821,23,4161,0.7619781964848488,812,47104,242.14414817958186,0.2,0.993617057800293,0.01796875,220,2.5966570377349854,2.8801080905366687,0.0001,0.0025723595,-0.0015465552729438058,-0.0841911117904374,,
343.0,11,0.6163403179685948,24,4297,0.7608019629398645,354,49152,106.5296747300383,0.2,0.9064456820487976,0.00029296875,230,0.7413798570632935,1.3573862668243237,0.0001,1.650324e-05,-2.4073012900771575e-05,-0.00023857932142997695,,
855.0,11,0.6131653119799171,25,4432,0.7491267216725245,866,51200,261.51033574122215,0.2,0.9950715899467468,0.02109375,240,0.5274180769920349,3.358203209936619,0.0001,0.01906399,0.0005665761840646155,-0.051084768602915887,,
