rollout/ep_len_mean,time/time_elapsed,custom/mean_confidence,time/fps,time/iterations,time/total_timesteps,custom/images_selected,custom/mean_entropy,rollout/ep_rew_mean,train/loss,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
386.75,6634,0.5900071167389357,11,38,77824,407,0.7549043398451161,120.83658762012531,0.23734501004219055,0.9357811540307012,0.00017467333,0.2,0.0001,370,0.003271484375,-0.0004855536222748924,0.9680235981941223,-0.03133451775424874,,
898.75,6767,0.5918590216953166,11,39,79872,909,0.7577783958631709,278.4685169941582,1.054583191871643,2.667413884284906,1.9562867e-06,0.2,0.0001,380,0.00673828125,0.001444546628772514,0.9921087026596069,-0.1224862321742222,,
,,0.590723712789385,,,80000,928,0.7555825084918424,,0.20352882146835327,0.8690522654040251,0.00045373067,0.2,0.0001,390,0.007373046875,-0.00018540425735409373,0.9852611422538757,-0.05523375524053335,294.43316650390625,945.0
468.0,7373,0.5923447845503688,11,40,81920,480,0.7460566388753553,146.06241653668857,,,,,,,,,,,,
194.6,7509,0.5950094769398372,11,41,83968,30,0.7929582605759303,57.83346866520915,1.2534644603729248,5.355643625638914,0.0004053556,0.2,0.0001,400,0.0033203125,-0.000821914488915354,0.0036420226097106934,-0.03528926884767411,,
521.5,7646,0.6088651519859849,11,42,86016,542,0.7511562786968872,158.66224757158238,0.5142043232917786,1.1613815578806679,8.5707725e-06,0.2,0.0001,410,0.003857421875,0.0002046860579866916,0.9594807028770447,-0.10939422613728311,,
57.25,7782,0.5903518640283328,11,43,88064,67,0.7960306833039469,17.399229380117394,1.3168106079101562,3.7198019104544073,0.0,0.2,0.0001,420,0.0,-6.733534974046052e-09,0.030207037925720215,-7.703512781275304e-07,,
569.25,7918,0.6023358933769154,11,44,90112,579,0.7493714689436354,174.214544667751,3.278986930847168,1.0740720220375806,0.0014068722,0.2,0.0001,430,0.01708984375,-0.00022668760939268396,0.9812285304069519,-0.10956282191145875,,
113.75,8053,0.5997968886907284,11,45,92160,130,0.7364026867426359,34.41788393218937,2.0284640789031982,2.596269572910387,0.0,0.2,0.0001,440,0.0,-8.77116690389812e-09,0.7752761840820312,-2.6121409037905154e-07,,
625.75,8186,0.6096359178006092,11,46,94208,642,0.7434310773590643,189.40137034995908,0.16909462213516235,1.4788395399227738,0.00047391938,0.2,0.0001,450,0.00439453125,0.00033965795300900937,0.9948976635932922,-0.09906595146508153,,
172.25,8319,0.5890237236688585,11,47,96256,197,0.7593508218296894,53.94658413296489,1.6716711521148682,1.510140277823666,0.0,0.2,0.0001,460,0.0,1.2725649867206812e-09,0.7614142298698425,-1.8550542585484886e-07,,
684.25,8453,0.5872568777317052,11,48,98304,709,0.75846585369707,212.22818828729137,0.08057232946157455,1.3281401110056321,0.002229918,0.2,0.0001,470,0.00361328125,0.0002525967975088861,0.9953253865242004,-0.08943587504580819,,
,,0.6028104276379194,,,100000,163,0.7534830011655947,,0.13275539875030518,1.448775077337632,3.6379788e-09,0.2,0.0001,480,0.0,7.403286872431636e-08,0.7641075849533081,-0.0001885745243974668,292.337158203125,945.0
76.0,9054,0.5786089270629666,11,49,100352,88,0.7537378472360697,23.81604769439962,,,,,,,,,,,,
