rollout/ep_len_mean,custom/images_selected,rollout/ep_rew_mean,time/fps,custom/mean_confidence,time/time_elapsed,time/iterations,custom/mean_entropy,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
131.5,143,39.90672926644381,11,0.6278996609307669,2138,12,0.7607393073035287,24576,-0.00017206441443704535,0.00027968426,1.8499963283538818,0.2,110,-0.004748506790019746,2.697125463106204,0.0001,0.8597280383110046,0.00126953125,,
643.5,655,199.4274967942918,11,0.6098966101653703,2272,13,0.7446405432378973,26624,-0.003380417427251814,0.03729257,0.5847135186195374,0.2,120,-0.16862497845868346,2.058043048350373,0.0001,0.9797669649124146,0.060986328125,,
173.25,196,54.90655984061796,11,0.6244655944863144,2405,14,0.7463182848022909,28672,-7.89015757618472e-08,0.0,1.044323205947876,0.2,130,-9.991428883058263e-05,2.880582540741307,0.0001,0.827946126461029,0.0,,
685.25,708,215.65556650535723,12,0.6131114343465385,2545,15,0.7453624241390807,30720,-0.0012687732938502449,0.0019978168,0.6536017060279846,0.2,140,-0.12489334391721059,3.333533423929475,0.0001,0.981511652469635,0.014794921875,,
221.75,249,67.36927258035158,12,0.5821883261921894,2683,16,0.7793269546395803,32768,-1.0942509106826038e-06,3.783498e-09,1.793833613395691,0.2,150,-0.00018243611281603122,3.217552357853856,0.0001,0.7555416822433472,0.0,,
733.75,761,223.7955755557918,12,0.5994454149974316,2824,17,0.761983124071759,34816,-0.0012000552444078494,0.0026870011,2.5339815616607666,0.2,160,-0.10648898169492896,2.472099557670299,0.0001,0.9850707054138184,0.01943359375,,
280.75,305,86.60002764652778,12,0.5922109262865097,2963,18,0.7398571740896975,36864,4.272296791896224e-08,0.0,0.3706222176551819,0.2,170,-0.00014072903743858056,2.234275366284419,0.0001,0.7612524032592773,0.0,,
792.75,817,242.68529187776758,12,0.6053563384852182,3103,19,0.7472530960890771,38912,-0.0008855469815898687,0.0006579671,0.21576042473316193,0.2,180,-0.08614694891152794,2.5891784649225884,0.0001,0.9894501566886902,0.006689453125,,
,115,,,0.6194929693056189,,,0.7528103564096533,40000,-2.6199795684078708e-05,1.0963413e-07,0.18459729850292206,0.2,190,-0.0007972735870271474,2.0612577526830136,0.0001,0.7891629338264465,0.0,946.0,290.795166015625
228.0,240,69.37041027528399,10,0.5842343815912803,3747,20,0.7309036328146855,40960,,,,,,,,,,,,
740.0,752,227.3464656265021,11,0.5974692265166247,3885,21,0.7383454307378765,43008,-2.981202705996111e-05,0.0005249632,0.389567494392395,0.2,200,-0.10085182800185148,1.8526850352878683,0.0001,0.9920119047164917,0.008740234375,,
285.75,301,86.16226971025584,11,0.5848074830647719,4021,22,0.735898995666805,45056,-3.1063827918842437e-07,2.066372e-09,0.1344355046749115,0.2,210,-0.00014279156312639872,1.8147524965228512,0.0001,0.6394510269165039,0.0,,
797.75,813,243.8136067093759,11,0.5997059903534869,4158,23,0.7481758706500756,47104,0.0016691309203451965,0.0019734818,1.6584386825561523,0.2,220,-0.07710257213958585,2.789525194565067,0.0001,0.9924639463424683,0.016845703125,,
347.0,359,106.63356869472128,11,0.5981239739566793,4294,24,0.7465269445625853,49152,-5.660402457579039e-05,1.0334654e-05,0.6111689805984497,0.2,230,-0.00018436136647529411,1.3681081434711815,0.0001,0.7651031613349915,0.000146484375,,
859.0,871,267.0104243305937,11,0.5994914494343658,4427,25,0.7530451495238889,51200,3.862788398691919e-05,0.00062273646,0.19388140738010406,0.2,240,-0.07354122456195036,1.5719845171202906,0.0001,0.9960846900939941,0.002880859375,,
413.5,428,123.52113988333674,11,0.6023959485448409,4560,26,0.7436383158212232,53248,-7.343175311689266e-05,0.00077446154,0.6361925005912781,0.2,250,-0.0019699603146374617,1.2204028339590878,0.0001,0.9683676958084106,0.001123046875,,
925.5,935,281.1254773039957,11,0.6028727740366409,4692,27,0.7508848146000441,55296,-0.00108567930656136,0.00050716737,0.09156601876020432,0.2,260,-0.04946677996372273,2.6122893104329705,0.0001,0.9943931102752686,0.003857421875,,
480.5,491,148.14199357104798,11,0.6086417862087063,4824,28,0.7528904278415527,57344,0.000573396099935053,0.0018136714,0.1030438169836998,0.2,270,-0.035007580510075534,1.0694790821813513,0.0001,0.9917232990264893,0.004931640625,,
29.0,39,8.094614060447514,11,0.6189059813817342,4957,29,0.7038452694049249,59392,-2.0684643095592038e-05,8.598188e-06,0.8585819005966187,0.2,280,-0.024152277008398008,2.6934437737218104,0.0001,0.9917283058166504,0.0,,
,190,,,0.6111759810071242,,,0.7440717864977686,60000,-0.00013834262426826172,0.00041233934,1.1861910820007324,0.2,290,-0.049693048977529394,1.1857133754470852,0.0001,0.9955419898033142,0.004052734375,946.0,287.592529296875
348.0,360,107.0314464177307,11,0.6156924064788554,5552,30,0.7311307844602399,61440,,,,,,,,,,,,
860.0,872,266.24435054809527,11,0.6035129080330013,5684,31,0.7468003759143549,63488,2.2053427528589966e-09,0.0,0.4324503540992737,0.2,300,-3.795673686158953e-27,2.235589755757246,0.0001,0.6562414169311523,0.0,,
418.0,431,127.97742799216444,11,0.6182145139595748,5815,32,0.7361736120591308,65536,-1.5625846572220325e-08,0.0,0.9991436004638672,0.2,310,-7.219954268842273e-05,1.374939612869639,0.0001,0.9773160815238953,0.0,,
930.0,941,282.3043684147483,11,0.6138853204465241,5947,33,0.7328391050641383,67584,-0.0002911139446950983,0.0003428392,0.21617090702056885,0.2,320,-0.033447656033953874,2.627644117648015,0.0001,0.9959189295768738,0.002880859375,,
487.25,506,151.24978477131577,11,0.5956072603525381,6079,34,0.7509696994845575,69632,-0.00013015015865676106,0.00025839923,0.15380772948265076,0.2,330,-0.015836999280946586,0.9816136171168182,0.0001,0.9930391907691956,0.001171875,,
47.5,67,14.294895833591895,11,0.5847185138446181,6211,35,0.7590430810380338,71680,5.052587948739529e-06,2.9612565e-06,1.6875557899475098,0.2,340,-0.01579854744777549,2.751504185772501,0.0001,0.9864994883537292,0.0,,
559.5,579,169.5065434359715,11,0.5959277203457755,6342,36,0.7420739958992482,73728,-4.198096867185086e-05,5.1904266e-05,2.827920436859131,0.2,350,-0.02456122665024172,1.6088576452457346,0.0001,0.9943491816520691,4.8828125e-05,,
121.0,143,37.79134487805802,11,0.6066607347318342,6474,37,0.7172690912351741,75776,9.422365110367537e-10,0.0,0.6260755062103271,0.2,360,-2.897695424790225e-26,2.419398693286348,0.0001,0.7415498495101929,0.0,,
633.0,655,194.66310716528886,11,0.5971696239391356,6605,38,0.7383686314557345,77824,-0.00015989446474122814,0.0003628114,1.2926207780838013,0.2,370,-0.027715730972877696,1.6515274706645868,0.0001,0.9941217303276062,0.002197265625,,
192.25,216,59.04056964587599,11,0.5948264327038217,6737,39,0.7307511752954235,79872,-1.4129909686744212e-09,0.0,1.4951351881027222,0.2,380,-6.801130040843529e-16,2.324343254370615,0.0001,0.13419389724731445,0.0,,
,247,,,0.5850443321201,,,0.7357561083940359,80000,8.805708785075694e-05,0.002851714,0.14033837616443634,0.2,390,-0.043763577847345136,2.004818070528563,0.0001,0.9935379028320312,0.0060546875,946.0,294.5185852050781
468.0,480,143.62413908002824,11,0.6073086551701029,7350,40,0.74137638459603,81920,,,,,,,,,,,,
21.75,36,6.442711744182593,11,0.5278042405843735,7492,41,0.7245963480737474,83968,-1.2092641554772853e-09,0.0,0.34109818935394287,0.2,400,-2.6133978357475047e-15,2.5450916398665866,0.0001,0.02662968635559082,0.0,,
533.75,548,162.44552547417126,11,0.5942360771289708,7630,42,0.7364234695904446,86016,-0.0002392959053395316,0.00047665188,0.4385404586791992,0.2,410,-0.050583227943966726,0.8574100226745941,0.0001,0.9948310852050781,0.0029296875,,
83.75,94,25.913411982573066,11,0.5884087463008597,7764,43,0.7500918544036277,88064,9.022187441587448e-11,0.0,2.0208842754364014,0.2,420,-2.0266163679889677e-14,2.1971649759158027,0.0001,0.11626684665679932,0.0,,
595.75,606,183.79465712845038,11,0.6081224264386463,7898,44,0.7475801671151281,90112,-0.00015300339764507954,0.000176833,0.37927496433258057,0.2,430,-0.05169053878340222,1.2732975060178433,0.0001,0.9940435886383057,0.00439453125,,
156.0,166,48.159400017957324,11,0.6128663759992783,8041,45,0.7551114245890135,92160,-2.939486876130104e-10,0.0,0.5684971809387207,0.2,440,-7.524078699732594e-15,2.3732718738086986,0.0001,0.06699538230895996,0.0,,
668.0,678,203.34761670182345,11,0.6083309045143886,8182,46,0.750664602294784,94208,3.688607430376578e-05,8.8929126e-05,0.2477017194032669,0.2,450,-0.03896042318288191,1.3869550033472478,0.0001,0.9923926591873169,0.000927734375,,
224.0,228,68.57288138330883,11,0.5852778024579349,8318,47,0.7510567083954811,96256,7.668859325349331e-10,0.0,0.4641812741756439,0.2,460,-1.267544725742317e-11,0.8617918181756977,0.0001,0.1904064416885376,0.0,,
736.0,740,223.82908462536722,11,0.5980303614526181,8452,48,0.7451263973036328,98304,9.72809131781105e-05,3.5537974e-05,0.27905401587486267,0.2,470,-0.04355491573678059,1.9314576141914586,0.0001,0.9919490814208984,0.000341796875,,
,205,,,0.5949529794658103,,,0.742096270875233,100000,1.7527781892567873e-09,0.0,0.504047155380249,0.2,480,-1.6916773147395858e-08,1.5663176260946785,0.0001,0.2472350001335144,0.0,946.0,290.17669677734375
76.0,88,22.536814330580583,11,0.5980558588423512,9066,49,0.7332991446283731,100352,,,,,,,,,,,,
