custom/images_selected,custom/mean_confidence,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/mean_entropy,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
344,27.778080817918443,338.25,4840.501404804052,49152,35.096743529797855,11,24,4201,-0.00031826798706722365,230,0.2,2.052696089708479,0.0,-3.165204543620348e-06,3.1723175e-09,0.0003,0.8518157005310059,0.4666840136051178,,
856,11.517604410509083,850.25,4999.050845911322,51200,14.552967171839692,11,25,4333,-0.08298371517162195,240,0.2,3.130200757313287,0.008837890625,0.00036034854492754674,0.00013708991,0.0003,0.9962509870529175,0.11612223088741302,,
353,28.77730279080253,349.5,5142.746555271038,53248,36.401169872365195,11,26,4466,-0.10995195779726145,250,0.2,1.338881071045762,0.039404296875,-0.011683868250111118,0.004595236,0.0003,0.9316132068634033,0.2557867467403412,,
854,12.088522398609646,861.5,5299.674603547755,55296,15.301437882633309,12,27,4597,-0.1852133502802417,260,0.2,2.6776793982659,0.032080078125,0.003651278035249561,0.0014650469,0.0003,0.9897614121437073,0.6283608675003052,,
384,28.03735687211156,378.0,5446.573180402629,57344,35.492095315542734,12,28,4729,-0.08179199314435551,270,0.2,1.3066840429266449,0.034423828125,0.008562225076457253,0.016565267,0.0003,0.922587513923645,0.23374730348587036,,
867,12.355590153884675,890.0,5604.349965666698,59392,15.645026646964002,12,29,4861,-0.13491308053092865,280,0.2,4.373217887891224,0.017041015625,0.0017595303033886012,0.0043584695,0.0003,0.9968554973602295,7.837259292602539,,
34,328.2178769830395,,,60000,415.60865812031005,,,,-0.08197782898272407,290,0.2,1.4751573617162648,0.056396484375,0.010105559714429547,0.024357533,0.0003,0.958118736743927,0.2155870795249939,296.06915283203125,954.2
360,34.75008743537797,346.5,6335.700653835167,61440,44.00064040077333,11,30,5463,,,,,,,,,,,,
862,14.698295814523457,858.5,6491.106940599637,63488,18.600645889944627,11,31,5595,-0.13946731999773992,300,0.2,12.548626355064334,0.012353515625,0.001464039121492533,0.00079546485,0.0003,0.9283875226974487,8.7325439453125,,
392,33.46901628443477,380.75,6641.4293911546065,65536,42.35861476963595,11,32,5727,-0.08698506688924681,310,0.2,1.2315535822999664,0.012548828125,0.0032910798683587926,0.0005166923,0.0003,0.9512827396392822,0.06637243926525116,,
893,14.855424010911873,892.75,6803.740242640762,67584,18.793379135596755,11,33,5859,-0.16581081884255713,320,0.2,2.4870399640756657,0.043896484375,0.00021814607316628098,0.0023491164,0.0003,0.9931039810180664,0.24859236180782318,,
422,32.55383573225324,420.5,6954.517148863089,69632,41.16554886603207,11,34,5991,-0.0703133153858289,330,0.2,0.9231621602550149,0.0076171875,0.0007978589863341767,0.00065293885,0.0003,0.9825190901756287,0.828065037727356,,
905,15.032082543766217,932.5,7103.722004088262,71680,19.00825216619964,11,35,6123,-0.1042460012863046,340,0.2,0.5987376722274348,0.0,2.786028417176567e-05,0.00012144608,0.0003,0.9928956031799316,0.26369398832321167,,
450,31.873822179701595,438.5,7252.535776539794,73728,40.28835723302431,11,36,6254,-0.15982278364390368,350,0.2,0.8277387647191062,0.027734375,0.0046331909754371734,0.015111198,0.0003,0.9854802489280701,0.290273517370224,,
931,15.219113948656219,795.62,7335.3668857060175,75776,19.251109425520635,11,37,6386,-0.07866144787168833,360,0.2,1.720509226102149,0.002783203125,-0.0018462156971509104,0.00036278146,0.0003,0.9961133599281311,0.165360689163208,,
478,31.274981043515844,485.25,7561.023479096097,77824,39.53045046808019,11,38,6518,-0.09544967664883189,370,0.2,0.711583183001494,0.02060546875,-0.0006423406557587441,0.002886158,0.0003,0.9953899383544922,0.08680365234613419,,
8,1907.0699019394815,318.99,7489.035267495122,79872,2409.804200682789,12,39,6649,-0.025150487476372968,380,0.2,2.9473845712142066,0.0,-0.00015731844541733153,3.0039067e-05,0.0003,0.990014374256134,0.8755650520324707,,
39,391.6228201748469,,,80000,494.9646488359341,,,,-0.13040314337667952,390,0.2,1.040264126576949,0.0234375,-0.0010916701699898112,0.009562982,0.0003,0.9951257705688477,0.9705379605293274,297.38677978515625,945.0
480,34.762544178962706,468.0,8463.187899906216,81920,43.93016048947272,11,40,7248,,,,,,,,,,,,
22,772.3708930868994,165.31,8364.260182251623,83968,975.7571752036667,11,41,7380,-4.83939449262537e-09,400,0.2,2.840729127341183,0.0,-1.4217221178114415e-09,0.0,0.0003,0.5254907011985779,0.27392444014549255,,
534,32.41066579152359,521.25,8774.733365515664,86016,40.92771128010465,11,42,7512,-0.10292462058559977,410,0.2,0.9133494562003761,0.01005859375,0.0008259394380729645,0.0014616279,0.0003,0.9963763952255249,0.7275607585906982,,
80,220.1817335613072,64.25,8924.329866466847,88064,278.0219932752196,11,43,7644,-1.3838180681800998e-10,420,0.2,1.891467282170197,0.0,7.13771441951394e-10,0.0,0.0003,0.831113874912262,0.5465662479400635,,
592,30.264480535142326,576.25,9086.098116925463,90112,38.22959645570105,11,44,7775,-0.07112232351571209,430,0.2,1.3297598395496606,0.01982421875,-0.0019910051276383458,0.003891065,0.0003,0.9951197504997253,2.772953987121582,,
150,121.48395926694076,132.75,9241.576139707673,92160,153.4884687898308,11,45,7907,-1.7002858477013295e-12,440,0.2,1.6671227778249886,0.0,-5.475158104673028e-10,0.0,0.0003,0.6885817050933838,0.4426594078540802,,
662,27.973919854378412,644.75,9403.41413530347,94208,35.360618500371,11,46,8038,-0.061296885170790814,450,0.2,1.2011512476135977,0.004345703125,0.0006248980142117943,0.00019246653,0.0003,0.9956567883491516,0.09854567795991898,,
219,85.92075648971888,195.0,9558.930232752406,96256,108.65698596658228,11,47,8170,-5.060996464999687e-10,460,0.2,1.625843880418688,0.0,-5.114998202770948e-10,0.0,0.0003,0.6953319907188416,0.8272222876548767,,
731,26.156439309488732,707.0,9720.136812057312,98304,33.07620585271541,11,48,8302,-0.05184409450369506,470,0.2,1.605860176216811,0.011279296875,-3.60841782821808e-05,0.001642392,0.0003,0.9962933659553528,0.9646666049957275,,
205,94.49788050375334,,,100000,119.5182930081901,,,,-3.20150196349473e-10,480,0.2,1.0564343357778854,0.0,5.165929906070232e-11,0.0,0.0003,0.8227881789207458,0.18912436068058014,300.9002380371094,945.0
88,233.3029388378967,76.0,10471.759815422887,100352,295.38448922856793,11,49,8899,,,,,,,,,,,,
